trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,13.129487334001169,13.129487334001169,0.021795208000185085,[0.23333333333333334],[-0.07666666666666666],[1],[0],[0],[2.035048875000939],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
1,0,1,0,5,15.16590754200115,15.16590754200115,0.009431667000171728,[0.4533333333333333],[0.34],[1],[0],[0],[0.9555041669991624],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
2,0,2,0,5,16.134130334001384,16.134130334001384,0.009814957998969476,[0.2511111111111111],[0.31222222222222223],[1],[0],[0],[1.1540098750010657],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
3,0,3,0,5,17.300625417001356,17.300625417001356,0.009963124999558204,[0.12666666666666668],[-0.2722222222222222],[1],[0],[0],[1.3377497080000467],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
4,0,4,0,5,18.65120458400088,18.65120458400088,0.009953458000381943,[-0.2877777777777778],[-0.03],[1],[0],[0],[1.021021374999691],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
5,0,5,0,5,19.684608375000607,19.684608375000607,0.009839667000051122,[0.11777777777777777],[-0.06888888888888889],[1],[0],[0],[1.2371622919999936],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
6,0,6,0,5,20.933633624999857,20.933633624999857,0.009752791998835164,[-0.25666666666666665],[0.28555555555555556],[1],[0],[0],[1.2878699579996464],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
7,0,7,0,10,22.24492037500022,22.24492037500022,0.018030249999355874,[-0.1411111111111111],[0.4622222222222222],[1],[0],[0],[1.4882505420009693],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
8,0,8,0,5,23.74323716700019,23.74323716700019,0.009701916000267374,[0.2222222222222222],[-0.3566666666666667],[1],[0],[0],[1.44614916700084],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
9,0,9,0,10,25.212185667000085,25.212185667000085,0.01821258299969486,[0.3055555555555556],[-0.2644444444444444],[1],[0],[0],[1.3315958749990386],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
10,0,10,0,10,26.56432612500066,26.56432612500066,0.017983166000703932,[0.4088888888888889],[-0.20555555555555555],[1],[0],[0],[1.3881304999995336],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
11,0,11,0,5,27.961256584001603,27.961256584001603,0.009018500000820495,[-0.2644444444444444],[0.36777777777777776],[1],[0],[0],[1.4771657500004949],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
12,0,12,0,10,29.462295792000077,29.462295792000077,0.018111499999577063,[0.20222222222222222],[0.29888888888888887],[1],[0],[0],[1.141253499999948],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
13,0,13,0,10,30.622387000001254,30.622387000001254,0.017113417001382913,[0.4033333333333333],[0.01],[1],[0],[0],[1.2209913339993363],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
14,0,14,0,10,31.864489999999932,31.864489999999932,0.01806458300052327,[-0.2611111111111111],[-0.17222222222222222],[1],[0],[0],[1.3553441670010216],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
15,0,15,0,10,33.23990791700089,33.23990791700089,0.01768087500022375,[0.21666666666666667],[-0.058888888888888886],[1],[0],[0],[1.447172333000708],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
16,0,16,0,10,34.707057250001526,34.707057250001526,0.017647707998548867,[0.47444444444444445],[-0.18],[1],[0],[0],[1.813755791999938],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
17,0,17,0,10,36.540721291999944,36.540721291999944,0.017737541998940287,[0.2677777777777778],[0.0811111111111111],[1],[0],[0],[1.3123028749996593],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
18,0,18,0,5,37.862753542000064,37.862753542000064,0.00948341699950106,[-0.44222222222222224],[-0.3711111111111111],[1],[0],[0],[1.5601584169999114],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
19,0,19,0,10,39.446195625001565,39.446195625001565,0.01803387499967357,[-0.26],[-0.4111111111111111],[1],[0],[0],[1.2079172920002748],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
20,0,20,0,5,40.663805042000604,40.663805042000604,0.009644957999626058,[0.21555555555555556],[-0.03777777777777778],[1],[0],[0],[1.2261038340002415],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
21,0,21,0,10,41.91310533400065,41.91310533400065,0.018285791000380414,[-0.14777777777777779],[0.02666666666666667],[1],[0],[0],[1.4076404170009482],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
22,0,22,0,10,43.34046554199995,43.34046554199995,0.017570375001014327,[-0.30777777777777776],[-0.3322222222222222],[1],[0],[0],[1.2131589999989956],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
23,0,23,0,10,44.57372354200015,44.57372354200015,0.017606666000574478,[-0.1388888888888889],[0.45111111111111113],[1],[0],[0],[2.0704207079998014],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
24,0,24,0,10,46.66514683400055,46.66514683400055,0.017919500000061817,[-0.11],[0.4622222222222222],[1],[0],[0],[0.8126620000002731],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
25,0,25,0,10,47.49858908399983,47.49858908399983,0.018108000000211177,[-0.25666666666666665],[0.10333333333333333],[1],[0],[0],[1.1560018750005838],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
26,0,26,0,10,48.67424991700136,48.67424991700136,0.017661583000517567,[-0.3988888888888889],[-0.14],[1],[0],[0],[1.103792792000604],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
27,0,27,0,5,49.78812087500046,49.78812087500046,0.009801750000406173,[-0.46444444444444444],[0.19777777777777777],[1],[0],[0],[1.30164162499932],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
28,0,28,0,10,51.11304666700016,51.11304666700016,0.01826312499906635,[0.33],[0.2722222222222222],[1],[0],[0],[1.498165291000987],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
29,0,29,0,5,52.62149950000094,52.62149950000094,0.009785666999960085,[-0.2388888888888889],[-0.2577777777777778],[1],[0],[0],[1.5356499170011375],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
30,0,30,0,5,54.16931908400147,54.16931908400147,0.01001683400136244,[-0.07888888888888888],[-0.36666666666666664],[1],[0],[0],[1.7042228339996655],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
31,0,31,0,5,55.886155500000314,55.886155500000314,0.00982862499949988,[-0.4311111111111111],[-0.45444444444444443],[1],[0],[0],[1.4372492499987857],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
32,0,32,0,10,57.34645287500098,57.34645287500098,0.018317584001124487,[-0.3277777777777778],[0.1622222222222222],[1],[0],[0],[1.7080343329998868],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
33,0,33,0,5,59.064397042000564,59.064397042000564,0.009625667000364047,[0.03],[0.09],[1],[0],[0],[1.1091441250009666],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
34,0,34,0,10,60.196318500000416,60.196318500000416,0.01811437499964086,[-0.47555555555555556],[-0.39111111111111113],[1],[0],[0],[1.8986263749993668],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
35,0,35,0,5,62.10514020900155,62.10514020900155,0.009828708998611546,[0.4222222222222222],[0.4022222222222222],[1],[0],[0],[1.5514525420003338],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
36,0,36,0,5,63.66978408400064,63.66978408400064,0.010149334000743693,[0.011111111111111112],[0.3811111111111111],[1],[0],[0],[1.4212117919996672],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
37,0,37,0,10,65.11360108400004,65.11360108400004,0.01795358299932559,[0.27],[0.11666666666666667],[1],[0],[0],[1.4411907920002704],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
38,0,38,0,10,66.57431466700109,66.57431466700109,0.017249082999114762,[-0.03777777777777778],[-0.24333333333333335],[1],[0],[0],[1.3138397920010902],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
39,0,39,0,10,67.90729708400067,67.90729708400067,0.016958374999376247,[0.37555555555555553],[-0.08888888888888889],[1],[0],[0],[1.2044756670002243],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
40,0,40,0,5,69.12220687500121,69.12220687500121,0.009907916999509325,[-0.17777777777777778],[0.32666666666666666],[1],[0],[0],[1.1677180830010911],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
41,0,41,0,5,70.30268520900063,70.30268520900063,0.009812040998440352,[-0.2866666666666667],[0.1922222222222222],[1],[0],[0],[1.1543631670010654],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
42,0,42,0,10,71.47958587500034,71.47958587500034,0.01776208299997961,[0.19333333333333333],[-0.4633333333333333],[1],[0],[0],[2.2424659170010273],[],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
43,0,43,0,10,73.74182983399987,73.74182983399987,0.01761679199989885,[-0.2722222222222222],[0.48333333333333334],[1],[0],[0],[2.136703582998962],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
44,0,44,0,10,75.89858500000082,75.89858500000082,0.017676000001301873,[0.3377777777777778],[0.43777777777777777],[1],[0],[0],[1.2636582920004003],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
45,0,45,0,10,77.18281079200096,77.18281079200096,0.017662208001638646,[0.2811111111111111],[0.3566666666666667],[1],[0],[0],[1.3465567500006728],['target'],1,001,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,
